46,38,3,3,2,9,18,9,14,4,2,17,9,11,3,3,30,12,4,1,1,3,16,16,39,4,1,4,1,2,13,5,21
13,97,24,24,11,12,19,10,6,5,1,10,3,6,5,4,46,17,1,0,2,4,5,11,24,5,11,10,2,1,7,6,24
7,27,91,71,15,19,30,24,7,3,2,11,6,4,2,12,30,10,4,3,1,2,10,8,8,4,0,6,3,0,2,0,9
3,1,5,152,72,30,17,13,9,7,1,7,9,8,5,4,13,7,8,2,2,5,16,18,6,0,2,3,2,1,4,4,5
7,0,1,7,68,124,50,21,6,11,3,19,14,6,8,5,14,10,7,1,1,5,6,3,2,0,3,3,1,1,0,1,7
4,0,1,0,6,147,123,37,7,12,3,22,12,4,6,0,17,10,3,0,1,2,3,3,0,0,0,3,2,0,3,0,2
0,1,0,0,1,14,198,125,11,16,3,21,10,3,6,1,12,10,1,1,0,0,4,3,1,1,2,2,1,0,1,0,0
0,0,0,0,0,0,25,229,68,40,5,16,16,4,13,0,9,7,0,0,0,1,2,0,0,1,1,0,0,1,1,0,0
0,2,1,0,0,0,1,34,229,21,0,2,4,0,2,0,3,7,1,0,0,0,7,5,3,2,2,1,2,0,0,1,0
1,0,0,0,0,0,7,71,107,172,36,28,13,3,4,0,2,6,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0
3,0,0,0,0,3,18,25,7,57,136,126,24,5,3,2,5,5,1,0,0,0,2,3,5,0,1,0,1,0,3,0,1
0,1,0,0,0,3,6,14,2,11,17,246,57,14,2,1,7,2,1,0,0,1,4,2,4,0,2,3,0,2,0,0,3
1,1,0,0,0,1,5,8,3,1,6,91,198,35,15,3,8,2,0,0,0,0,2,2,3,0,1,0,0,1,2,0,0
1,0,0,0,0,1,5,9,5,3,0,26,95,97,65,8,12,4,4,0,0,0,2,4,3,0,3,2,1,2,0,1,1
4,0,0,2,0,0,4,2,0,3,0,13,22,59,149,35,26,10,2,0,0,1,2,6,1,1,4,2,0,4,0,3,0
1,0,0,0,0,2,2,3,2,4,1,9,13,14,73,136,64,17,2,1,0,1,5,6,6,1,0,1,0,0,0,0,0
2,0,0,0,0,2,0,3,1,2,0,13,7,5,10,52,176,39,7,1,1,2,5,5,2,0,1,0,0,0,1,1,1
2,2,0,1,1,0,2,0,0,5,1,10,1,1,7,10,115,172,13,0,2,1,10,4,5,2,2,0,1,0,0,0,0
2,1,0,0,0,0,3,2,3,2,1,9,0,2,2,1,33,165,81,6,6,5,8,10,7,3,0,1,1,1,1,0,0
2,1,0,0,1,0,1,1,2,4,1,10,0,6,1,3,8,82,112,39,17,11,12,14,7,2,2,1,1,1,1,0,0
4,1,1,0,0,1,2,2,2,3,3,13,3,4,1,2,7,30,51,52,106,27,18,9,4,3,1,2,4,0,1,0,1
2,0,0,0,0,0,5,2,0,5,0,12,1,5,2,0,6,16,16,4,50,132,44,17,5,2,0,1,2,1,3,0,0
4,0,0,1,0,1,2,2,1,2,1,8,1,3,1,1,1,9,6,1,4,50,142,53,4,21,1,3,1,2,3,0,0
4,0,0,0,1,2,3,1,1,4,1,6,3,2,0,0,3,8,2,1,1,11,97,211,29,24,4,1,0,0,0,0,1
0,0,0,0,1,0,1,0,3,0,1,2,1,0,0,0,0,2,0,0,0,0,7,82,298,38,2,1,0,0,0,0,0
3,4,0,1,0,0,2,5,2,3,0,9,2,4,0,0,7,2,7,3,1,5,8,67,30,173,27,6,4,1,1,0,0
3,2,1,0,0,1,7,3,0,0,1,8,3,4,1,0,2,7,9,1,2,2,14,42,4,53,173,35,3,3,1,2,0
5,2,0,0,0,5,8,2,0,5,1,6,3,3,5,1,1,7,5,2,1,3,11,24,5,12,35,146,38,6,6,3,2
14,4,0,1,0,3,15,7,2,5,1,6,4,4,10,2,8,11,6,1,0,5,15,13,6,11,14,47,114,38,6,2,1
16,3,0,2,1,7,9,5,4,4,2,17,12,2,10,2,13,7,5,0,1,3,10,13,2,8,10,19,40,72,59,10,4
23,6,0,1,1,4,11,12,6,7,3,19,6,5,12,3,13,15,5,2,2,7,17,10,2,6,9,15,15,22,76,28,14
29,5,1,2,5,5,25,15,2,9,7,24,9,4,7,2,17,18,7,0,2,5,17,14,1,10,11,9,13,8,45,36,41
21,13,4,8,1,6,33,34,8,13,3,11,8,8,4,3,20,16,6,0,0,2,17,15,2,10,5,7,6,4,22,19,48
