41,37,3,5,0,5,11,2,14,3,2,14,18,11,2,3,28,9,9,1,2,4,17,15,73,2,1,4,0,2,7,4,13
12,95,17,15,11,5,16,2,2,0,7,13,17,9,4,2,38,25,9,0,1,3,8,7,53,2,20,3,4,1,1,8,12
2,23,30,67,1,9,18,5,18,10,8,23,17,13,4,2,39,22,10,7,8,4,4,28,33,2,3,6,0,0,2,1,12
3,1,1,81,42,18,20,5,7,6,7,25,24,9,1,1,20,9,15,2,6,5,28,75,18,1,5,3,0,0,0,2,1
1,3,1,8,41,111,40,3,3,5,8,50,32,14,2,1,16,13,12,0,2,5,5,5,17,0,9,1,1,1,1,2,3
2,0,0,0,2,105,105,10,4,5,10,73,39,22,3,0,12,9,4,0,2,5,2,1,9,0,4,0,0,0,4,0,0
0,1,0,0,0,8,201,25,7,18,16,78,45,15,0,0,4,8,2,0,0,1,5,2,3,1,4,0,1,0,3,1,0
0,0,0,0,0,1,34,81,47,52,18,94,56,25,2,0,12,4,1,0,0,2,2,1,0,1,1,0,0,1,1,0,0
0,0,0,0,0,0,4,16,185,39,8,16,13,3,1,0,4,3,5,0,2,1,4,13,9,1,2,1,0,0,0,0,0
0,1,0,0,0,0,3,14,47,120,103,110,28,15,2,0,4,1,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0
0,0,0,0,0,1,3,2,4,18,117,229,30,11,1,0,5,4,1,0,0,2,1,0,10,0,1,0,1,0,0,0,0
0,0,0,0,0,2,4,0,1,2,7,234,107,19,3,0,11,0,0,0,1,2,1,0,10,0,0,0,0,0,0,1,0
0,1,0,0,0,0,2,1,2,1,1,65,215,59,7,1,12,3,0,0,0,0,2,1,15,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,4,0,2,14,83,164,29,3,12,4,0,0,0,1,2,4,26,0,0,0,1,0,1,0,0
0,0,0,0,0,0,2,0,0,0,0,9,20,102,155,6,21,9,0,1,0,4,3,1,18,1,2,1,1,0,0,1,0
0,0,0,0,0,1,2,1,3,1,1,7,15,31,134,83,46,13,4,0,0,1,1,3,17,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,1,0,0,0,2,4,11,22,53,173,21,7,1,3,1,7,2,29,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,3,0,0,2,3,3,3,12,5,117,153,19,1,2,1,5,4,37,1,1,0,0,0,0,0,0
1,0,1,0,0,1,3,0,1,1,1,6,4,2,4,0,31,116,121,6,7,6,5,4,32,0,0,1,1,0,2,0,0
0,0,0,0,0,0,1,1,1,0,0,2,4,2,5,0,9,47,123,38,31,11,18,10,35,0,0,0,2,0,1,0,1
1,0,0,0,0,0,1,0,2,1,2,2,2,5,4,0,7,10,46,38,91,65,17,11,42,1,2,4,1,0,0,0,0
0,0,0,0,0,0,3,0,1,1,0,3,3,7,2,0,4,8,17,2,13,144,67,8,48,1,0,0,0,0,0,1,0
2,0,0,0,0,0,1,0,1,1,3,4,2,4,3,0,2,4,7,1,2,24,161,31,68,1,0,0,1,0,3,1,0
0,0,0,0,0,1,3,2,1,2,1,5,1,6,0,0,2,6,3,1,0,6,67,128,180,5,1,1,0,0,0,1,0
0,0,0,0,0,0,1,0,2,1,6,5,2,0,1,0,1,2,1,0,0,0,7,17,391,4,1,0,0,0,1,0,0
1,0,0,0,0,0,2,2,2,0,0,4,7,5,0,0,4,4,6,0,1,3,12,31,197,80,15,2,0,0,2,0,0
4,0,0,0,0,0,8,0,0,0,6,13,8,5,1,0,2,4,7,1,1,3,11,23,69,56,147,12,2,1,3,2,0
4,1,1,0,0,1,9,2,3,2,4,18,8,3,1,0,2,7,10,1,1,3,12,9,39,9,49,117,24,3,6,2,0
6,1,1,0,0,2,18,0,2,2,3,17,8,10,3,1,11,8,2,0,2,7,17,12,43,11,13,48,89,26,6,4,3
5,1,0,0,0,1,12,5,1,3,2,22,14,15,5,1,18,11,4,1,3,6,8,8,40,9,6,18,28,85,29,8,1
16,0,0,1,1,4,15,2,2,6,8,33,11,11,5,1,17,11,5,0,2,10,17,13,51,4,7,9,8,18,70,12,7
36,2,3,4,2,2,25,4,2,6,9,46,21,15,4,0,21,16,9,0,4,5,13,14,37,7,7,4,7,1,32,35,12
25,9,2,6,0,4,26,11,6,9,9,43,26,17,3,0,20,4,7,0,7,6,19,20,28,6,10,4,1,2,10,13,24
