199,17,1,1,9,3,1,1,2,4,10,74,11,2,4,4,4,2,1,1,0,3,3,6,3,3,13,17,8,3,5,0,2,3,3
264,70,0,0,3,4,0,4,3,6,2,55,7,4,2,2,4,3,0,3,2,2,3,1,0,0,2,3,2,4,2,0,0,4,6
142,21,13,17,18,2,1,0,0,0,11,5,2,2,0,0,0,0,1,0,2,0,0,2,1,2,38,4,5,2,1,4,12,23,33
91,16,4,85,92,12,7,1,0,1,0,7,0,1,1,0,0,0,1,0,1,1,0,2,0,0,24,7,2,8,1,0,8,10,41
103,12,0,22,201,45,2,0,0,0,1,6,2,0,2,0,4,2,1,0,0,0,1,0,0,0,9,2,1,0,2,0,2,3,7
80,10,0,1,73,202,13,1,0,1,4,12,1,1,0,0,1,1,0,0,0,1,3,3,5,10,4,0,0,1,1,1,3,4,3
118,25,0,0,12,65,120,21,4,0,1,19,2,0,1,0,2,1,1,0,2,0,0,2,1,0,3,0,3,2,2,1,1,1,4
137,21,1,0,10,5,50,127,30,5,0,27,2,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,2
149,19,0,0,2,0,1,21,130,35,1,74,6,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,1,2,1,0,0,0,0
151,12,0,0,0,0,0,2,18,58,39,145,5,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0
39,0,0,0,1,0,1,0,0,14,188,72,1,1,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,1,4,0,0,0,3
75,4,0,0,1,0,0,2,0,7,33,301,28,5,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
93,12,0,0,2,1,1,0,0,1,5,107,166,39,5,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
111,6,0,0,0,0,1,0,0,0,6,22,35,139,73,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
89,9,0,0,1,0,1,0,1,1,3,7,4,43,147,66,7,4,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
77,10,0,0,0,0,0,0,0,0,6,5,2,8,42,146,37,4,2,3,1,0,1,0,0,0,3,0,0,1,0,1,1,3,0
102,8,0,0,4,1,0,1,1,1,1,1,0,3,5,66,117,25,6,3,1,0,0,0,1,0,1,1,2,1,0,0,3,2,1
93,7,0,0,3,0,0,2,1,0,2,4,1,3,4,16,61,106,37,7,0,1,3,2,0,0,3,3,2,3,2,0,1,0,1
91,5,0,0,0,1,0,0,0,1,2,1,0,2,0,4,6,42,116,35,14,3,2,2,0,0,3,2,0,3,0,1,1,1,2
88,1,0,0,3,2,0,0,1,0,1,3,0,2,0,1,5,11,53,119,47,9,7,2,0,0,4,5,1,3,1,0,3,0,1
78,4,0,1,4,1,0,0,1,0,3,3,0,1,0,0,2,5,12,32,117,35,31,6,1,0,5,5,4,1,1,0,2,0,2
84,2,0,0,3,0,0,0,0,0,2,0,1,0,0,1,1,1,0,9,49,79,71,16,1,1,5,4,2,4,1,0,2,1,1
78,7,0,0,4,1,0,0,1,1,0,2,0,0,0,1,0,1,1,0,4,32,128,65,8,2,4,7,1,4,2,1,1,0,2
69,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,2,18,163,34,3,7,9,5,4,0,1,2,1,5
70,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,27,122,36,8,14,23,16,2,0,0,0,3
74,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,32,148,90,19,18,21,1,0,1,0,0
20,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,9,368,27,0,1,0,0,2,0,1
81,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,4,6,61,149,42,26,1,1,1,0,0
83,3,0,0,2,0,0,0,3,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,3,36,207,31,5,0,1,2,3
85,7,0,0,1,2,0,0,0,1,3,4,0,0,0,0,1,0,0,0,1,0,2,2,2,1,2,6,46,149,27,1,8,2,0
115,10,0,0,1,0,1,0,3,0,3,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,2,5,11,68,125,11,8,2,3
117,9,0,0,1,2,0,0,0,2,5,3,0,1,1,1,1,1,4,0,0,1,5,1,0,1,2,7,5,21,68,67,34,7,4
154,12,0,0,0,0,2,0,1,1,1,3,1,2,2,0,1,0,2,3,1,0,4,3,1,0,2,5,3,10,14,30,95,22,2
162,21,0,0,5,2,3,1,3,1,1,11,2,1,1,3,0,0,0,3,0,1,4,1,0,0,1,4,2,5,8,3,58,76,21
168,19,0,4,8,9,1,1,0,3,4,14,4,0,1,0,0,0,0,0,1,0,0,2,2,0,3,8,1,3,6,0,19,45,51
