27,17,5,0,2,0,3,4,16,4,4,1,8,0,1,8,0,0,8,3,0,5,8,10,77,13,4,5,5,13,1,12,100
15,43,17,12,4,4,4,5,4,2,5,4,5,4,2,8,0,0,5,1,0,8,4,4,37,7,4,14,3,8,3,14,173
13,38,44,24,17,5,6,3,5,2,4,4,11,1,2,11,4,0,4,0,3,3,6,6,32,2,6,0,0,7,2,4,160
2,12,22,103,51,7,2,6,12,7,3,0,8,3,0,1,0,0,9,2,3,10,9,43,24,3,6,5,1,5,0,7,74
6,5,3,16,97,83,15,17,11,13,9,4,13,0,2,2,0,0,12,1,3,7,1,10,18,6,10,12,0,6,2,7,23
2,2,2,2,22,152,83,24,8,13,15,2,19,3,0,4,0,1,7,2,3,2,4,5,6,10,6,7,2,5,2,4,13
0,1,0,0,2,20,161,98,33,33,12,12,21,1,1,0,0,0,4,0,1,2,3,3,8,13,7,4,3,3,1,1,1
0,0,0,0,0,2,29,136,136,56,8,12,19,1,2,2,0,0,4,0,1,1,0,1,3,10,1,8,0,2,0,2,3
0,0,0,0,3,0,1,18,247,24,2,2,2,1,0,1,0,0,4,0,0,2,1,5,6,5,2,3,1,1,0,0,1
2,1,0,0,0,1,5,29,142,182,41,19,15,1,4,1,1,0,3,0,0,0,1,2,3,2,1,1,0,0,0,0,3
1,1,1,0,1,0,7,23,21,85,144,82,41,1,2,4,0,0,2,0,0,1,0,1,10,0,2,4,0,2,0,0,3
0,0,0,0,0,1,4,6,6,8,26,144,165,5,6,5,1,0,0,0,0,0,4,3,8,4,1,1,1,1,0,0,3
0,2,1,0,0,1,4,3,4,5,4,25,251,41,10,11,0,2,4,1,0,0,2,1,8,3,0,0,1,2,0,0,1
2,0,0,0,0,0,1,2,9,0,3,6,93,97,51,40,1,1,3,0,0,2,3,4,22,0,0,3,1,2,2,3,2
2,1,0,0,0,0,2,1,3,1,2,3,29,31,79,146,1,2,11,0,1,3,5,3,13,1,3,1,3,4,0,4,3
1,0,0,0,0,2,5,5,4,1,2,3,11,9,19,239,13,3,13,2,1,3,1,5,14,2,3,3,1,1,1,0,1
0,0,0,0,1,0,0,0,5,1,1,2,1,3,4,141,55,48,27,7,1,3,3,7,21,1,1,1,1,2,1,0,2
0,0,0,0,1,0,1,0,1,2,2,3,0,1,2,38,35,102,124,5,1,5,4,12,21,4,3,1,3,0,0,1,1
0,0,0,0,1,0,3,0,4,2,0,4,0,0,2,8,7,34,209,14,9,9,5,13,18,3,5,2,0,3,1,1,0
0,0,0,0,0,1,0,1,2,1,1,3,1,2,0,6,4,3,136,80,24,12,16,11,24,3,3,2,2,2,0,0,1
0,0,0,0,0,0,0,2,3,0,1,1,1,0,0,3,0,2,35,66,96,64,17,13,34,1,2,10,1,2,2,0,2
0,1,0,0,0,0,3,1,2,2,0,0,1,0,0,2,1,0,7,12,25,183,30,14,24,6,4,0,1,3,2,3,1
0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,2,1,1,7,4,3,59,138,36,31,18,4,6,2,4,1,2,3
1,0,0,0,0,1,2,1,3,0,1,2,3,0,0,0,1,0,2,1,1,9,79,175,98,32,4,3,2,0,1,0,0
0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,1,1,26,383,14,3,0,1,0,2,0,0
0,2,0,0,0,0,0,2,2,1,0,0,3,0,0,2,1,1,3,4,1,2,11,31,102,175,22,5,9,0,0,0,1
2,1,0,0,1,0,3,2,3,0,0,1,0,0,1,2,0,1,6,5,1,5,18,8,24,64,184,35,8,2,0,6,5
3,0,0,1,0,0,2,1,4,2,0,2,3,1,0,2,0,1,2,4,0,5,7,6,25,17,36,165,33,20,3,5,2
2,0,0,0,0,0,7,4,2,5,0,1,3,0,1,3,1,2,7,3,1,3,8,7,34,15,17,55,109,71,5,4,6
7,0,0,1,1,1,5,3,7,4,0,6,6,1,3,6,2,1,3,3,3,3,5,10,40,7,10,17,43,138,14,17,4
8,0,0,0,1,1,4,5,7,4,7,2,16,0,0,4,0,6,3,3,1,6,15,11,37,1,9,12,16,69,30,60,39
15,2,1,2,3,1,11,8,9,11,6,9,13,3,2,6,0,4,4,1,0,6,8,14,39,6,11,10,12,24,16,57,90
12,6,0,1,1,4,8,14,7,13,10,4,14,3,2,6,0,1,3,4,0,4,11,8,17,10,7,13,4,9,9,46,126
