34,28,3,2,0,8,18,2,19,2,0,14,28,18,2,7,31,18,5,1,0,3,10,24,35,3,0,3,3,1,21,9,12
19,56,32,13,8,10,25,11,3,0,1,11,23,18,5,7,53,29,5,0,0,0,6,14,25,6,7,5,3,1,15,3,12
4,10,54,53,7,7,27,29,10,3,0,13,32,19,7,5,46,23,4,1,0,1,11,16,9,5,1,8,3,1,6,1,11
4,2,2,68,55,22,28,12,9,3,1,11,81,15,15,1,18,15,20,0,1,4,11,22,4,2,2,1,1,0,7,1,1
7,0,1,0,25,95,38,7,3,4,2,37,102,14,9,2,16,17,4,0,1,3,5,3,3,1,6,3,1,1,5,0,2
2,0,0,0,2,74,110,23,2,3,0,63,76,29,4,0,19,6,2,0,1,1,4,3,0,2,0,0,1,0,4,0,1
2,0,0,0,0,4,165,72,9,9,1,67,60,14,5,0,13,10,1,0,1,0,2,4,1,1,2,0,1,0,2,0,0
1,0,0,0,0,0,23,134,49,16,1,68,91,22,6,1,11,9,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2,1,0,0,0,0,1,25,219,6,0,10,23,3,1,0,4,5,4,0,1,4,7,4,1,2,3,1,1,0,2,0,0
0,0,0,0,0,0,9,54,96,90,15,100,73,9,2,0,3,5,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
2,0,0,0,0,0,6,12,11,30,48,248,58,4,0,0,4,5,0,0,0,0,0,1,2,0,1,0,2,0,5,1,1
1,0,0,0,0,0,4,6,3,3,1,215,133,11,3,0,5,1,0,0,0,0,4,1,4,0,1,0,0,0,3,4,1
2,0,0,0,0,0,1,2,2,0,0,64,232,42,9,1,16,2,1,0,0,0,1,3,6,2,0,0,0,0,2,0,1
0,0,0,0,0,1,2,2,3,1,0,13,100,142,35,1,21,2,3,0,1,0,2,9,2,0,0,0,0,0,10,3,1
6,0,0,1,0,0,1,0,4,0,0,9,37,94,127,16,35,7,0,0,1,1,3,5,3,1,0,2,2,1,2,0,0
2,0,0,0,0,1,2,1,2,1,0,6,23,29,91,83,94,10,2,0,0,0,3,8,5,0,0,1,1,0,3,0,0
5,1,0,0,0,1,1,2,2,1,0,0,9,13,6,37,204,26,5,0,1,1,4,4,4,1,0,0,1,0,8,2,0
1,0,0,0,1,0,0,0,1,0,0,1,6,1,7,6,177,118,9,1,1,0,10,11,4,3,1,0,3,0,9,2,0
1,0,0,0,0,0,3,2,6,0,1,5,6,3,4,0,54,161,79,0,3,2,3,5,6,1,0,0,0,0,10,0,0
2,0,0,0,0,0,1,2,3,0,0,2,3,6,4,1,19,93,135,10,10,1,12,19,3,3,0,0,0,1,10,1,1
2,0,1,0,0,0,4,0,3,1,0,2,4,8,1,1,10,32,112,31,59,18,20,10,6,5,1,2,6,0,16,0,2
3,0,0,0,0,0,4,2,4,1,0,0,4,9,0,0,17,8,38,1,29,105,59,23,6,1,0,0,2,0,15,2,0
4,0,0,1,0,0,1,1,6,1,0,3,8,4,1,0,7,12,10,1,4,24,147,58,8,12,1,0,2,0,11,1,0
2,0,0,0,0,0,3,4,3,0,0,2,13,5,1,1,3,16,5,0,0,6,87,191,51,18,2,0,1,0,8,1,0
0,0,0,0,1,0,0,0,3,0,0,3,7,1,0,0,0,44,4,0,0,0,8,35,308,15,3,0,1,0,0,1,0
6,1,0,0,0,0,2,2,5,0,0,4,7,4,0,0,8,6,5,0,2,0,18,74,59,141,16,4,3,0,10,1,1
9,0,0,0,0,2,5,1,2,0,1,5,12,10,5,0,9,11,12,0,0,2,9,53,3,58,147,21,2,1,4,2,1
5,2,0,1,0,1,12,1,7,3,1,10,16,4,4,0,6,14,11,0,0,2,5,21,2,16,34,117,42,3,8,3,0
9,2,0,0,2,3,15,7,9,0,0,4,19,9,8,1,18,12,8,0,1,0,10,17,4,14,6,45,95,29,23,5,1
16,1,1,0,0,1,11,3,11,2,0,13,26,11,6,2,20,13,10,0,1,1,3,19,3,8,5,13,34,55,75,6,2
19,1,0,2,0,1,15,6,11,2,1,17,33,10,7,1,36,13,7,1,0,2,12,19,6,8,8,9,10,12,79,26,4
27,2,0,3,2,2,28,10,5,3,1,29,44,22,8,0,42,17,8,0,1,2,7,18,5,11,4,3,7,5,34,32,21
15,9,1,4,2,9,26,24,10,4,2,30,40,18,5,2,33,17,5,0,1,0,11,30,2,7,7,8,2,1,12,15,25
